,index,School,City,Zip Code,Student Enrollment,State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 : ELA (English Language Arts) : ALL ENROLLED - Highly Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Minimally Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Partially Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Proficient(%),State Wide Assessment Results - 2023 All:MATH : ALL ENROLLED - Highly Proficient(%),End of Year Promotion (%),American Indian/ Alaska Native,Asian,Black,Hispanic,Native Hawaiian/ Pacific Islander,White,Two or More Races,Male,Female,Grade Levels,County,School Type,Anthem,Avondale,Buckeye,Chandler,El Mirage,Fountain Hills,Gila Bend,Gilbert,Glendale,Goodyear,Highley,Laveen,Mesa,Peoria,Phoenix,Queen Creek,Scottsdale,Surprise,Tempe,Tolleson,Tonopah,Wickenburg
68,116,"Mesa Distance Learning Program",Mesa,85203,107,15.0,24.0,49.0,12.0,35.0,28.0,33.0,4.0,86.6,3,1,5,37,0,59,2,39,68,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
69,117,Mesa High School,Mesa,85204,3475,52.0,27.0,17.0,5.0,50.0,30.0,13.0,6.0,98.18,68,16,142,2416,21,745,67,1767,1708,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
70,119,Mountain View High School,Mesa,85213,3374,19.0,26.0,34.0,21.0,24.0,26.0,29.0,21.0,98.46,152,36,99,1004,25,1971,85,1720,1652,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,120,"Poston Junior High School",Mesa,85213,881,49.0,22.0,24.0,5.0,59.0,17.0,14.0,10.0,100.0,25,5,43,462,9,307,30,448,433,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,121,"Red Mountain High School",Mesa,85207,3448,23.0,22.0,34.0,21.0,24.0,26.0,22.0,27.0,99.2,50,62,123,883,19,2193,118,1761,1687,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
73,123,"Rhodes Junior High School",Mesa,85202,677,58.0,21.0,18.0,3.0,73.0,12.0,9.0,5.0,100.0,64,4,50,432,7,101,21,351,328,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
74,124,"Sequoia Choice School Arizona Distance Learning School",Mesa,85204,3062,52.0,20.0,23.0,5.0,71.0,17.0,9.0,3.0,87.85,110,26,125,612,13,2068,129,1580,1503,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
75,126,"Sequoia Secondary School",Mesa,85204,371,72.0,16.0,10.0,2.0,78.0,15.0,5.0,1.0,99.45,13,0,20,275,5,51,8,183,189,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,127,"Shepherd Junior High School",Mesa,85205,604,34.0,24.0,33.0,9.0,45.0,22.0,21.0,12.0,99.84,8,9,12,188,6,352,28,276,327,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
77,128,"Skyline High School",Mesa,85208,2249,47.0,26.0,21.0,6.0,52.0,28.0,16.0,4.0,97.86,55,27,99,1134,12,875,46,1146,1102,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,129,"Smith Junior High School",Mesa,85207,841,45.0,23.0,27.0,5.0,69.0,16.0,12.0,3.0,100.0,21,13,31,383,6,353,34,462,379,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
79,131,"Stapley Junior High School",Mesa,85213,980,31.0,20.0,37.0,12.0,30.0,14.0,23.0,33.0,100.0,85,8,9,212,3,646,15,507,471,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
80,132,"Sun Valley High School",Mesa,85204,372,76.0,17.0,4.0,3.0,82.0,17.0,1.0,0.0,78.42,16,2,28,243,1,69,14,177,196,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,133,Taylor Junior High School,Mesa,85204,995,52.0,22.0,23.0,4.0,58.0,19.0,16.0,6.0,97.16,25,6,46,603,10,284,21,516,479,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
82,134,"Vista Grove Preparatory Academy Middle School",Mesa,85213,31,60.0,24.0,16.0,0.0,88.0,4.0,8.0,0.0,100.0,2,0,13,14,0,1,1,15,16,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,135,"Westwood High School",Mesa,85201,3571,55.0,22.0,17.0,6.0,53.0,26.0,14.0,6.0,96.96,401,31,214,2047,37,754,86,1787,1783,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
84,138,"Basis Peoria",Peoria,85383,974,6.0,12.0,51.0,30.0,4.0,13.0,36.0,47.0,99.69,3,669,49,59,5,156,33,521,453,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,139,"Centennial High School",Peoria,85381,2007,22.0,26.0,37.0,15.0,25.0,31.0,26.0,18.0,99.59,25,69,118,764,6,920,105,1036,971,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
86,141,"Great Hearts Academies - Glendale Prep",Peoria,85383,610,13.0,21.0,48.0,17.0,21.0,24.0,30.0,25.0,100.0,3,80,12,89,5,389,32,287,323,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
87,142,"Liberty High School",Peoria,85383,2603,15.0,28.0,46.0,11.0,22.0,33.0,28.0,18.0,99.58,10,99,82,428,10,1836,138,1329,1274,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,143,"Ombudsman - Charter Northwest",Peoria,85345,142,75.0,18.0,4.0,4.0,76.0,21.0,3.0,0.0,70.55,5,0,16,78,1,41,1,79,63,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
